,coin_name,symbol,description,total_coin_supply,algorithm,proof,start_date,total_coins_mined,exchanges
0,Decent,DCT,"Decent is a decentralized open source content distribution platform that allows anyone to buy, sell, or share content without unnecessary middleman fees or manipulation. Using Decent, authors can share their content directly with consumers using blockchain technology and a modified version of the Bittorrent protocol, without any cultural, geographical or political limitations.Decent holds multiple advantages over traditional platforms, such censorship resistance, which is ensured by Decent&#39;s decentralized nature where no single server can be targetted or shut down (It is also impossible to target specific nodes with one piece of content in mind). It allows consumers to acquire content for a cheaper price, while the content creators can keep 100% of the profits. Furthermore, there is no central authority that dictates what content is worth downloading, meaning that content creators are free to express themselves completely and to succeed (or fail) in their craft, regardless of what corporations or governments see fit. The reputation, recommendation, and feedback systems will give every user an equal opportunity.Decent will host an ICO starting on the 10th of September in which 70% of the DCT tokens&#39; total supply will be sold for ETH and BTC. The remaining 30% will be used for mining rewards. DCT tokens are used to fuel the Decent Platform and is required to publish and buy content. Users can choose to set the price for their published content.",73197775,,PoS,10/09/2016,,"HitBTC, Liqui, BitTrex"
1,Kore,KORE,Kore (KORE) is an x13 algorithm alternative crypto currency. The block time is 60 seconds - the PoS rate is 8% and the PoW phase lasts 7 days. There was a premine of 0.83%.,13200000,X13,PoW/PoS,15/06/2014,2022464.886973,BitTrex
2,BoxyCoin,BOXY,BoxyCoin is an PoW cryptocurrency based on the Scrypt algorithm.,100000000,Scrypt,PoW,14/11/2017,4695903.0,
3,Onix,ONX,Onix is a Proof of Work cryptocurrency based on the X11 Algorithm. ,1100000000,X11,PoW,26/05/2017,108116532.85539807,"Novaexchange, Yobit"
4,PoolStamp,XSP,PoolStamp is a Proof of Stake cryptocurrency based on the x13 algorithm. It had a 5 day Proof of Work stage in which 4 millions XSP were mined. PoolStamp is backed by a profit switching cloud multipool which mines BTC and major Altcoins to convert them into XSP. Holders recieve rewards from the PoS nature of the coin and from the market support generated by cloud mining multipool.,,X13,PoW/PoS,12/12/2014,,"Yobit, BitTrex"
5,MediBloc,MED*,"MediBloc is an open-source healthcare data platform that will leverage the blockchain techonlogy to provide an health care data exchange ecosystem. The platform will allow all entities - patients, practitioners, medial instituitions to contribute for the exchange of data. Furthermore, the patients will have full access to their medical record and will be able to assign access permissions for medical institutions which will enable the online presciptions.MediBlock token (MED) will be used to reward the network users who contribute to the platform and also to complete transactions for medical and pharmacuetical expenses. ",7966384100,,,18/10/2017,,Gateio
6,LiteCoin Ultra,LTCU,LiteCoin Ultra is a hybrid PoW/PoS cryptocurrency based on the Scrypt Algorithm.,150000000,Scrypt,PoW/PoS,28/07/2017,8419402.321,"Novaexchange, Yobit, Cryptopia"
7,CryptoBullion,CBX,"Crypto Bullion (CB) it is the virtual Precious Metal. A Next Generation of Crypto. This is a PoW + PoS scrypt altcoin - a virtual commodity-currency, based on Peercoin.",1000000,Scrypt,PoW/PoS,28/06/2013,1008203.19180262,"Cryptopia, Cryptsy, Yobit, Novaexchange"
8,LuckyBlocks (LUCKY),LUCKY,"LuckyBlocks is a 100% Proof of Stake cryptocurrency with a unique feature: Super Blocks paid out in bitcoin, the biggest bonus block will pay out 4 BTC. The super block rewards are held in escrow by a reputable third party.",20000000,PoS,PoS,01/01/0001,,Yobit
9,BitLux,LUX*,LUX or BitLux is an alternative crypto currency trying to focus on the luxury feminine market. Otherwise the crypto currency is an X11 hybrid proof of work and proof of stake with an annual rate of 10%.,0,X11,PoW/PoS,20/04/2015,,Yobit
